,Code,Title,CRN,Course Time,Professor,WRIT,DIAP,FYS,SOPH,CBLR,CSE,Department,Course Code,Previous Professor,Previous Semester,Course Rating,Previous Professor Rating,Average Hours,Maximum Hours,Number of Respondents,Class Size,Same Professor
55,ANTH 1111,Anthropology of China,25146,TTh 1-2:20p,Y. Sun,1,0,0,0,0,0,ANTH,1111,K. Mason,Fall 2014,4.86,4.88,3.4,6.2,5,9,False
56,ANTH 1145,Barbarians and Bandits: Exploring Subaltern Resilience and State Power,26080,TTh 2:30-3:50p,P. Van Dommelen,0,0,0,0,0,0,ANTH,1145,P. Van Dommelen,Fall 2016,4.64,4.65,5.5,9.7,12,17,True
57,ANTH 1242,Bioethics and Culture,24951,MW 1:30-2:50p,K. Mason,1,1,0,0,0,0,ANTH,1242,K. Mason,Spring 2015,4.66,4.96,4.83,9.67,6,17,True
58,ANTH 1300,Anthropology of Addictions and Recovery,16195,T 4-6:30p,I. Glasser,1,0,0,0,1,0,ANTH,1300,I. Glasser,Spring 2021,4.09,4.96,3.75,6.25,4,32,True
59,ANTH 1300,Anthropology of Addictions and Recovery,16195,T 4-6:30p,I. Glasser,1,0,0,0,1,0,ANTH,1300,D. Kertzer,Fall 1996,4.21,4.48,,,17,21,False
60,ANTH 1301,Anthropology of Homelessness,24959,T 4-6:30p,I. Glasser,0,0,0,0,1,0,ANTH,1301,I. Glasser,Spring 2019,4.36,4.62,5.69,11.77,13,15,True
61,ANTH 1720,The Human Skeleton,25586,MWF 10-10:50a,J. Schnell,0,0,0,0,0,0,ANTH,1720,A. Cormier,Fall 2019,4.39,4.56,5.33,9.5,12,17,False
62,ANTH 1848,Ethnography + Social Critique,16200,F 3-5:30p,Jusionyte/Hurtado Moreno,1,1,0,0,0,0,ANTH,1848,M. Gutmann,Fall 2016,4.31,4.66,5.75,11.09,13,13,False
63,ANTH 1901,Anthropology in/of the Museum,16197,F 3-5:30p,Preucel/Salinas,0,0,0,0,0,0,ANTH,1901,K. McCormick,Fall 2017,4.51,4.60,3.29,7.57,7,10,False
64,ANTH 1911,Gender and Sexuality in the Middle East,24958,W 9-11:30a,N. Al-Ali,0,1,0,0,0,0,ANTH,1911,N. Al-Ali,Summer 2021,4.03,4.50,2.5,7.07,14,38,True
65,ANTH 1990,Senior Seminar: (Re)Making Anthropology,24956,TTh 10:30-11:50a,I. Jusionyte,0,0,0,0,0,0,ANTH,1990,A. Scherer,Fall 2020,3.6,4.75,4.0,10.33,6,20,False
66,APMA 0160,Introduction to Scientific Computing,24764,MWF 9-9:50a,K. Mallory,0,0,0,0,0,0,APMA,0160,V. Kilikian,Spring 2017,4.28,4.61,5.12,8.56,26,45,False
67,APMA 0160,Introduction to Scientific Computing,24764,MWF 9-9:50a,K. Mallory,0,0,0,0,0,0,APMA,0160,G. Karniadakis,Spring 2007,3.8,4.00,,,17,18,False
68,APMA 0200,Introduction to Modelling,16934,TTh 9-10:20a,Y. Guo,0,0,0,0,0,0,APMA,0200,C. Dafermos,Fall 2016,3.57,4.45,2.63,5.57,9,13,False
69,APMA 0340,Methods of Applied Mathematics II,15989,MWF 12-12:50p,V. Dobrushkin,0,0,0,0,0,0,APMA,0340,V. Dobrushkin,Spring 2021,,(n/a),0.0,0.0,45,45,True
70,APMA 0340,Methods of Applied Mathematics II,15989,MWF 12-12:50p,V. Dobrushkin,0,0,0,0,0,0,APMA,0340,M. Maxey,Spring 2007,4.23,4.00,,,18,30,False
71,APMA 0340,Methods of Applied Mathematics II,15989,MWF 12-12:50p,V. Dobrushkin,0,0,0,0,0,0,APMA,0340,Volker Elling,Spring 2006,,(n/a),,,15,16,False
72,APMA 0340,Methods of Applied Mathematics II,15989,MWF 12-12:50p,V. Dobrushkin,0,0,0,0,0,0,APMA,0340,Dobrushkin,Spring 2001,2.41,2.80,,,29,35,False
73,APMA 0340,Methods of Applied Mathematics II,24770,MWF 12-12:50p,V. Dobrushkin,0,0,0,0,0,0,APMA,0340,V. Dobrushkin,Spring 2021,,(n/a),0.0,0.0,45,45,True
74,APMA 0340,Methods of Applied Mathematics II,24770,MWF 12-12:50p,V. Dobrushkin,0,0,0,0,0,0,APMA,0340,M. Maxey,Spring 2007,4.23,4.00,,,18,30,False
75,APMA 0340,Methods of Applied Mathematics II,24770,MWF 12-12:50p,V. Dobrushkin,0,0,0,0,0,0,APMA,0340,Volker Elling,Spring 2006,,(n/a),,,15,16,False
76,APMA 0340,Methods of Applied Mathematics II,24770,MWF 12-12:50p,V. Dobrushkin,0,0,0,0,0,0,APMA,0340,Dobrushkin,Spring 2001,2.41,2.80,,,29,35,False
77,APMA 0350,Applied Ordinary Differential Equations,15995,MWF 12-12:50p,Sandstede/Ivanov,0,0,0,0,0,0,APMA,0350,E. Kharazmi,Summer 2021,3.27,3.49,4.5,8.0,12,43,False
78,APMA 0350,Applied Ordinary Differential Equations,15995,MWF 12-12:50p,Sandstede/Ivanov,0,0,0,0,0,0,APMA,0350,D. Kaspar,Fall 2014,4.2,4.34,5.0,10.14,7,61,False
79,APMA 0350,Applied Ordinary Differential Equations,15995,MWF 12-12:50p,Sandstede/Ivanov,0,0,0,0,0,0,APMA,0350,C. Dafermos,Fall 2006,4.4,4.27,,,36,59,False
80,APMA 0350,Applied Ordinary Differential Equations,24771,MWF 12-12:50p,T. Yastrzhembskiy,0,0,0,0,0,0,APMA,0350,E. Kharazmi,Summer 2021,3.27,3.49,4.5,8.0,12,43,False
81,APMA 0350,Applied Ordinary Differential Equations,24771,MWF 12-12:50p,T. Yastrzhembskiy,0,0,0,0,0,0,APMA,0350,D. Kaspar,Fall 2014,4.2,4.34,5.0,10.14,7,61,False
82,APMA 0350,Applied Ordinary Differential Equations,24771,MWF 12-12:50p,T. Yastrzhembskiy,0,0,0,0,0,0,APMA,0350,C. Dafermos,Fall 2006,4.4,4.27,,,36,59,False
83,APMA 0360,Applied Partial Differential Equations I,15991,MWF 10-10:50a,M. Maxey,0,0,0,0,0,0,APMA,0360,M. Maxey,Spring 2021,4.33,4.67,7.13,12.25,8,36,True
84,APMA 0360,Applied Partial Differential Equations I,15991,MWF 10-10:50a,M. Maxey,0,0,0,0,0,0,APMA,0360,G. Menon,Spring 2013,3.76,3.88,4.1,8.28,34,41,False
85,APMA 0360,Applied Partial Differential Equations I,15991,MWF 10-10:50a,M. Maxey,0,0,0,0,0,0,APMA,0360,S. Gottlieb,Spring 2007,4.24,4.23,,,29,52,False
86,APMA 0360,Applied Partial Differential Equations I,15991,MWF 10-10:50a,M. Maxey,0,0,0,0,0,0,APMA,0360,S. Gottlieb,Spring 2006,,(n/a),,,24,38,False
87,APMA 0360,Applied Partial Differential Equations I,15991,MWF 10-10:50a,M. Maxey,0,0,0,0,0,0,APMA,0360,C. Dafermos,Spring 2000,4.24,4.47,,,11,19,False
88,APMA 0360,Applied Partial Differential Equations I,24773,MWF 12-12:50p,K. Mallory,0,0,0,0,0,0,APMA,0360,M. Maxey,Spring 2021,4.33,4.67,7.13,12.25,8,36,False
89,APMA 0360,Applied Partial Differential Equations I,24773,MWF 12-12:50p,K. Mallory,0,0,0,0,0,0,APMA,0360,G. Menon,Spring 2013,3.76,3.88,4.1,8.28,34,41,False
